Nume logic,Eticheta set,Valoare,Eticheta optiune,Referinta blueprint,Multi-select
rd_amplasament,Amplasament,100000000,Amplasament 1,,Nu
rd_amplasament,Amplasament,100000001,Amplasament 2,,Nu
rd_canal,Lant sau canal,100000000,Retail modern,,Nu
rd_canal,Lant sau canal,100000001,Retail traditional,,Nu
rd_canal,Lant sau canal,100000002,HoReCa,,Nu
rd_canal,Lant sau canal,100000003,Industrial,,Nu
rd_canal,Lant sau canal,100000004,Export,,Nu
rd_canal,Lant sau canal,100000005,Marca proprie,,Nu
rd_ambalare,Tip ambalare,100000000,Punga,,Nu
rd_ambalare,Tip ambalare,100000001,Tava,,Nu
rd_ambalare,Tip ambalare,100000002,Bax direct,,Nu
rd_ambalare,Tip ambalare,100000003,Vrac,,Nu
rd_ambalare,Tip ambalare,100000004,Flow-pack,,Nu
rd_ambalare,Tip ambalare,100000005,Termoformat,,Nu
rd_motivcerere,Motivul cererii,100000000,Client nou,,Nu
rd_motivcerere,Motivul cererii,100000001,Extindere portofoliu,,Nu
rd_motivcerere,Motivul cererii,100000002,Inlocuire produs,,Nu
rd_motivcerere,Motivul cererii,100000003,Cerere de pret,,Nu
rd_motivcerere,Motivul cererii,100000004,Reformulare,,Nu
rd_motivcerere,Motivul cererii,100000005,Reactie la concurenta,,Nu
rd_motivcerere,Motivul cererii,100000006,Reglementare,,Nu
rd_tipproiect,Tip proiect,100000000,Produs nou,,Nu
rd_tipproiect,Tip proiect,100000001,Reformulare,,Nu
rd_tipproiect,Tip proiect,100000002,Abatere,,Nu
rd_tipproiect,Tip proiect,100000003,Transfer pe alta linie,,Nu
rd_tipproiect,Tip proiect,100000004,Optimizare cost,,Nu
rd_tipproiect,Tip proiect,100000005,Ambalaj nou,,Nu
rd_statusproiect,Status proiect,100000000,Solicitat,2.2.1,Nu
rd_statusproiect,Status proiect,100000001,In evaluare,2.2.1,Nu
rd_statusproiect,Status proiect,100000002,Acceptat - planificat,2.2.1,Nu
rd_statusproiect,Status proiect,100000003,In dezvoltare,2.2.1,Nu
rd_statusproiect,Status proiect,100000004,In asteptare materie prima,2.2.1,Nu
rd_statusproiect,Status proiect,100000005,In testare,2.2.1,Nu
rd_statusproiect,Status proiect,100000006,Blocat,2.2.1,Nu
rd_statusproiect,Status proiect,100000007,In implementare,2.2.1,Nu
rd_statusproiect,Status proiect,100000008,Productie 0,2.2.1,Nu
rd_statusproiect,Status proiect,100000009,In revizuire,2.2.1,Nu
rd_statusproiect,Status proiect,100000010,Finalizat,2.2.1,Nu
rd_statusproiect,Status proiect,100000011,Respins,2.2.1,Nu
rd_statusproiect,Status proiect,100000012,Suspendat,2.2.1,Nu
rd_statusproiect,Status proiect,100000013,Abandonat,2.2.1,Nu
rd_statuslivrabil,Status livrabil,100000000,Neinceput,,Nu
rd_statuslivrabil,Status livrabil,100000001,In lucru,,Nu
rd_statuslivrabil,Status livrabil,100000002,Trimis spre aprobare,,Nu
rd_statuslivrabil,Status livrabil,100000003,Realizat,,Nu
rd_statuslivrabil,Status livrabil,100000004,Respins,,Nu
rd_statuslivrabil,Status livrabil,100000005,Nu se aplica,,Nu
rd_statusetapa,Status etapa,100000000,Neinceputa,,Nu
rd_statusetapa,Status etapa,100000001,In lucru,,Nu
rd_statusetapa,Status etapa,100000002,Blocata,,Nu
rd_statusetapa,Status etapa,100000003,Finalizata,,Nu
rd_statusetapa,Status etapa,100000004,Sarita,,Nu
rd_statusmp,Status ciclu materie prima,100000000,Identificata,4.4,Nu
rd_statusmp,Status ciclu materie prima,100000001,Mostra ceruta,4.4,Nu
rd_statusmp,Status ciclu materie prima,100000002,Mostra primita,4.4,Nu
rd_statusmp,Status ciclu materie prima,100000003,In testare,4.4,Nu
rd_statusmp,Status ciclu materie prima,100000004,Conditii ST emise,4.4,Nu
rd_statusmp,Status ciclu materie prima,100000005,ST interna MP,4.4,Nu
rd_statusmp,Status ciclu materie prima,100000006,Aprobata Calitate,4.4,Nu
rd_statusmp,Status ciclu materie prima,100000007,Respinsa,4.4,Nu
rd_statusmp,Status ciclu materie prima,100000008,Cod SAP creat,4.4,Nu
rd_statusmp,Status ciclu materie prima,100000009,Comanda plasata,4.4,Nu
rd_statusmp,Status ciclu materie prima,100000010,Receptionata,4.4,Nu
rd_categoriemp,Categorie materie prima,100000000,Faina,,Nu
rd_categoriemp,Categorie materie prima,100000001,Grasimi,,Nu
rd_categoriemp,Categorie materie prima,100000002,Zaharuri,,Nu
rd_categoriemp,Categorie materie prima,100000003,Lactate,,Nu
rd_categoriemp,Categorie materie prima,100000004,Oua,,Nu
rd_categoriemp,Categorie materie prima,100000005,Drojdie si afanatori,,Nu
rd_categoriemp,Categorie materie prima,100000006,Amelioratori,,Nu
rd_categoriemp,Categorie materie prima,100000007,Umpluturi,,Nu
rd_categoriemp,Categorie materie prima,100000008,Fructe,,Nu
rd_categoriemp,Categorie materie prima,100000009,Ciocolata,,Nu
rd_categoriemp,Categorie materie prima,100000010,Arome,,Nu
rd_categoriemp,Categorie materie prima,100000011,Aditivi,,Nu
rd_categoriemp,Categorie materie prima,100000012,Ambalaje,,Nu
