Denumire criteriu,Cod,Grupa,Categorie produs,Pondere (%),Eliminatoriu sub,Ancora scor 1,Ancora scor 3,Ancora scor 5,Activ
Volum si inaltime dupa coacere,CR-01,Aspect exterior,Foietaj,15,2,"Produs plat, aproape fara dezvoltare; inaltimea sub jumatate din cea tinta; aspect turtit","Dezvoltare partiala; inaltime apropiata de tinta pe o parte a produsului, mai mica pe cealalta",Dezvoltare completa si uniforma; inaltime la tinta pe toata lungimea produsului,Da
Forma si regularitate,CR-02,Aspect exterior,Foietaj,10,,Forma deformata sau asimetrica; bucatile din acelasi lot nu seamana intre ele,"Forma corecta in general, cu abateri vizibile la unele bucati (capete inegale, rulare neuniforma)",Forma constanta si simetrica pe toate bucatile; rulare si asezare uniforme,Da
Culoarea si uniformitatea cojii,CR-03,Aspect exterior,Foietaj,10,2,Coaja palida sau arsa; diferente mari de culoare intre bucati sau intre fetele aceleiasi bucati,"Culoare corecta in ansamblu, cu zone mai deschise sau mai inchise vizibile","Culoare aurie uniforma, luciu corect, fara zone arse sau necoapte",Da
Straturi vizibile in sectiune (foietare),CR-04,Structura interna,Foietaj,20,2,"Straturile nu se disting; sectiune compacta, aspect de aluat nelaminat sau grasime absorbita complet","Straturi vizibile, dar neuniforme; zone lipite, foietare partiala pe una din laturi","Straturi numeroase, subtiri, clar separate, uniform distribuite pe toata sectiunea",Da
Alveolare si uniformitatea miezului,CR-05,Structura interna,Foietaj,10,,Miez compact sau cu goluri mari neregulate; zone crude sau umede,"Alveolare prezenta, dar inegala; goluri mari alaturi de zone dense","Alveolare fina si regulata pe toata sectiunea, fara goluri anormale",Da
Crocanta la exterior,CR-06,Textura,Foietaj,10,,Exterior moale sau cauciucat; nu se aude si nu se simte niciun sunet la rupere,"Crocanta prezenta imediat dupa coacere, dar care se pierde repede","Exterior clar crocant, cu foi care se desprind si se sfarama la atingere",Da
Elasticitate si moliciune la interior,CR-07,Textura,Foietaj,10,,"Interior uscat si sfaramicios sau, invers, umed si lipicios","Interior moale, dar cu zone mai uscate sau usor gumat","Interior moale si elastic, care revine la apasare, umiditate echilibrata",Da
Aroma de unt sau grasime,CR-08,Aroma si gust,Foietaj,10,2,"Aroma absenta, artificiala sau ranceda; miros de grasime veche","Aroma prezenta, dar slaba sau usor artificiala","Aroma clara, curata, de unt proaspat, persistenta fara sa fie agresiva",Da
Gust general si echilibru,CR-09,Aroma si gust,Foietaj,5,2,"Gust dezechilibrat (prea sarat, prea dulce, fad) sau cu note straine","Gust corect, dar fara personalitate; acceptabil, nu memorabil","Gust echilibrat si placut, fara note straine, cu final curat",Da
Volum si dezvoltare,CR-11,Aspect exterior,Aluat dospit,15,2,Produs subdezvoltat sau prabusit; volum vizibil sub tinta,"Dezvoltare apropiata de tinta, cu variatii intre bucati","Volum la tinta, dezvoltare uniforma, fara prabusiri sau crapaturi",Da
Culoarea cojii,CR-12,Aspect exterior,Aluat dospit,10,,Coaja palida sau arsa; pete de culoare,Culoare corecta cu variatii vizibile intre bucati,Culoare uniforma si corespunzatoare tipului de produs,Da
Structura miezului si uniformitatea alveolelor,CR-13,Structura interna,Aluat dospit,20,2,Miez dens si compact sau cu goluri mari; zone crude,"Structura acceptabila, cu alveole inegale sau cu o zona densa","Miez cu alveolare fina si regulata, structura matasoasa, fara goluri",Da
Distributia si cantitatea umpluturii,CR-14,Structura interna,Aluat dospit,15,2,"Umplutura lipsa, iesita din produs sau concentrata intr-un singur punct","Umplutura prezenta in cantitate corecta, dar distribuita neuniform","Umplutura in cantitatea specificata, distribuita uniform, fara scurgeri",Da
Moliciune si revenire la apasare,CR-15,Textura,Aluat dospit,15,2,"Produs tare, uscat sau gumat; nu revine dupa apasare","Moliciune corecta la degustare, cu revenire partiala","Moale si pufos, revine complet la apasare, fara senzatie de uscat",Da
Aroma de fermentare,CR-16,Aroma si gust,Aluat dospit,10,,Aroma de drojdie dominanta sau acida; miros de fermentare excesiva,"Aroma de fermentare prezenta si corecta, dar putin pronuntata sau usor dezechilibrata","Aroma de fermentare curata si echilibrata, care sustine gustul fara sa il domine",Da
Gust general si echilibru dulce,CR-17,Aroma si gust,Aluat dospit,10,2,Prea dulce sau fad; note straine sau gust de aditiv,"Gust corect si echilibrat, fara personalitate marcata","Dulce echilibrat, gust curat, in armonie cu umplutura si cu aluatul",Da
Comportament dupa decongelare la 4 ore,CR-18,Comportament la utilizare,Aluat dospit,5,,"Produsul se intareste, se umezeste sau isi pierde forma dupa decongelare","Produsul isi pastreaza in mare parte calitatile, cu pierderi vizibile de textura",Dupa 4 ore produsul este practic identic cu cel proaspat decongelat,Da
